title,album,year,artist,genre,text,url,hero
Anuvanuvuu,Om Bheem Bush,2024,Sunny M.R.Arijit Singh,Blues,anuvanuvuu om bheem bush sunni m.r.arijit singh,https://www.jiosaavn.com/song/anuvanuvuu/MSZaSwIHfGM,Sree Vishnu
Suttamla Soosi,Gangs Of Godavari,2024,Anurag KulkarniYuvan Shankar Raja,Jazz,suttamla soosi gang of godavari anurag kulkarniyuvan shankar raja,https://www.jiosaavn.com/song/suttamla-soosi/HgspeQMdVAY,Vishwak Sen
Ola Olaala Ala,Orange,2010,Ranina ReddyN.C. Karunya,Pop,ola olaala ala orang ranina reddyn.c . karunya,https://www.jiosaavn.com/song/ola-olaala-ala/PzcCZEVKQ1w,Ram Charan
Radhika,Tillu Square,2023,Ram Miriyala,Pop,radhika tillu squar ram miriyala,https://www.jiosaavn.com/song/radhika/IAEzZT9WZVw,Siddu Jonnalagadda
Nijame Ne Chebutunna,Ooru Peru Bhairavakona,2023,Sid Sriram,Classical,nijam ne chebutunna ooru peru bhairavakona sid sriram,https://www.jiosaavn.com/song/nijame-ne-chebutunna/MV8qcCFcXws,Sundeep Kishan
Oka Maru Kalisina Andam,Ghajini,2005,KarthikHarris Jayaraj,Electronic,oka maru kalisina andam ghajini karthikharri jayaraj,https://www.jiosaavn.com/song/oka-maru-kalisina-andam/Jy06REZnY2A,Suriya
College Papa,MAD,2023,Bheems CeciroleoVaramKeerthana SharmaGopika UdayanRam Nithin,Electronic,colleg papa mad bheem ceciroleovaramkeerthana sharmagopika udayanram nithin,https://www.jiosaavn.com/song/college-papa/JV8aA0QAYHw,Narne Nithin
O Rendu Prema Meghaalila (First Love Song),Baby,2023,Vijai BulganinSreerama Chandra,Rock,o rendu prema meghaalila ( first love song ) babi vijai bulganinsreerama chandra,https://www.jiosaavn.com/song/o-rendu-prema-meghaalila-first-love-song/KllSQCN7TQo,Anand Deverakonda
Mastaaru Mastaaru,Sir,2022,G.V. Prakash KumarShweta Mohan,Classical,mastaaru mastaaru sir g.v . prakash kumarshweta mohan,https://www.jiosaavn.com/song/mastaaru-mastaaru/JgQxaCZTUWI,Dhanush
Jalsa Jalsa,Jalsa,2008,Baba SehgalRita Thyagarajan,Electronic,jalsa jalsa jalsa baba sehgalrita thyagarajan,https://www.jiosaavn.com/song/jalsa-jalsa/AQQtYUN8QV4,Pawan Kalyan
Vellake,Vellake,2023,Bharatt-SaurabhYazin NizarAnirudh Ravichander,Electronic,vellak vellak bharatt-saurabhyazin nizaranirudh ravichand,https://www.jiosaavn.com/song/vellake/FzEmA0NhGnc,Vishwak Sen
Chamka Chamka,Chirutha,2007,Mani SharmaRanjithGeetha Madhuri,Hip-hop,chamka chamka chirutha mani sharmaranjithgeetha madhuri,https://www.jiosaavn.com/song/chamka-chamka/QTtdZzNSdHs,Ram Charan
Oororo Yogi,Yogi,2006,KarthikSunitha Upadrasta,Blues,oororo yogi yogi karthiksunitha upadrasta,https://www.jiosaavn.com/song/oororo-yogi/EjgteCt-Xl8,Prabhas
